Date,Hour,Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
2020-11-14,15,14:30 - 14:45,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66
2020-11-14,15,14:45 - 15:00,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94
2020-11-14,15,14:00 - 14:15,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25,2249.25
2020-11-14,15,14:15 - 14:30,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74,2299.74
2020-11-14,15,14:30 - 14:45,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66,2299.66
2020-11-14,15,14:45 - 15:00,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94,2274.94
2020-11-14,16,15:00 - 15:15,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12
2020-11-14,16,15:15 - 15:30,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92
2020-11-14,16,15:30 - 15:45,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14,2399.14
2020-11-14,16,15:45 - 16:00,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04,2399.04
2020-11-14,16,15:00 - 15:15,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12,2339.12
2020-11-14,16,15:15 - 15:30,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92,2349.92
